2025-08-12 23:31:37 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:31:57 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:33:07 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:37:03 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:40:24 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:40:37 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:40:45 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:41:26 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:47:20 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:54:20 | ERROR    | memory.conversation_memory:add_message:124 | Failed to add message: 'ChatMessage' object has no attribute 'message_id'
2025-08-12 23:54:20 | ERROR    | memory.conversation_memory:add_message:124 | Failed to add message: 'ChatMessage' object has no attribute 'message_id'
2025-08-12 23:54:20 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: '>' not supported between instances of 'RiskLevel' and 'RiskLevel'
2025-08-12 23:54:35 | ERROR    | utils.logger:log_voice_processing:161 | Voice processing: transcription failed for wav audio - "'error'"
2025-08-12 23:54:35 | ERROR    | app.api.voice:transcribe_audio:143 | Transcription failed: "'error'"
2025-08-12 23:57:11 | ERROR    | memory.conversation_memory:add_message:124 | Failed to add message: 'ChatMessage' object has no attribute 'message_id'
2025-08-12 23:57:11 | ERROR    | memory.conversation_memory:add_message:124 | Failed to add message: 'ChatMessage' object has no attribute 'message_id'
